address_id,address_line1,address_line2,address_line3,city,county,state,zipcode,country,latitude,longitude,load_date,load_id
8576,1648 DUFF AVENUE,,,SOUTH BURLINGTON,CHITTENDEN,VT,5403,United States of America,44.4670 N,73.1710 W,2017-03-01,0
4748,2489 TEA BERRY LANE,,,EAU CLAIRE,EAU CLAIRE,WI,54701,United States of America,44.8113 N,91.4985 W,2017-03-01,0
6661,1164 ROGERS STREET,,,CINCINNATI,HAMILTON,OH,45229,United States of America,39.1031 N,84.5120 W,2017-03-01,0
7884,4743 HICKORY HEIGHTS DRIVE,,,Havre De Grace,HARFORD,MD,50003,United States of America,39.5493 N,79.0916 W,2017-03-01,0
2390,8791 Nunc Street,,,Limerl,Luxemburg,LU,7085,Korea,61.1642,32.97183,2017-03-01,0
1627,Ap #214-6830 Faucibus Avenue,,,Salem,Oregon,MS,52432,United States of America,3.93697,-2.75722,2017-03-01,0
4859,629 Faucibus Ave,,,Fort Collins,Colorado,PA,10883,United States of America,56.39277,-114.69227,2017-03-01,0
4683,7167 Lectus Av.,,,Little Rock,Arkansas,KS,71565,United States of America,-55.76378,-52.1465,2017-03-01,0
5896,P.O. Box 285 5700 A Avenue,,,White Rock,British Columbia,YT,36985,Canada,56.68556,-43.16756,2017-03-01,0
1523,Ap #202-6083 Sem. Road,,,Tongerlo,Antwerpen,NA,1732,Korea,-81.69709,72.36103,2017-03-01,0
4752,P.O. Box 398 1055 Vestibulum Rd,,,Tongerlo,Antwerpen,BU,2888,Korea,-89.55893,57.70867,2017-03-01,0
3850,8304 Elit Avenue,,,Watson Lake,Yukon,QC,5687,Canada,-67.16178,134.37827,2017-03-01,0
2103,P.O. Box 524 7762 Fringilla St,,,Wyoming,Wyoming,ID,46318,United States of America,46.58711,153.51595,2017-03-01,0
3093,417 Pede. Ave,,,Watson Lake,Yukon,NB,7469,Canada,-36.80664,103.47115,2017-03-01,0
5631,Ap #541-3585 Aliquam Street,,,Stalhille,West-Vlaanderen,NA,9471,Korea,-84.85938,20.10333,2017-03-01,0
1004,Ap #446-5323 Tristique Rd.,,,Saint-Pierre,Quebec,NL,72456,Canada,52.15175,-44.68922,2017-03-01,0
4198,4305 Aliquet Rd.,,,Great Falls,Montana,NE,90695,United States of America,60.55285,-45.46697,2017-03-01,0
4399,P.O. Box 669 6932 Erat Road,,,San Antonio,Texas,MA,43584,United States of America,-12.40707,-54.39966,2017-03-01,0
4192,804 Sociis Av.,,,Des Moines,Iowa,UT,76539,United States of America,-66.25027,126.53374,2017-03-01,0
1045,160-5648 Nostra Street,,,Assiniboia,Saskatchewan,NT,147896,Canada,23.50789,130.35613,2017-03-01,0
9683,P.O. Box 463 332 Placerat Rd,,,Weelde,Antwerpen,AN,8773,Korea,-67.28773,95.06869,2017-03-01,0
1043,Ap #804-7059 Accumsan Ave,,,Phoenix,Arizona,TX,86153,United States of America,54.31928,-105.96107,2017-03-01,0
5901,Ap #498-2116 Bibendum. St.,,,Joliet,Illinois,TX,81563,United States of America,44.69193,-36.90488,2017-03-01,0
2367,P.O. Box 630 4618 Justo Road,,,Fort Worth,Texas,NE,46777,United States of America,-1.41974,-23.3346,2017-03-01,0
8604,Ap #150-1716 Mauris St.,,,Lake Cowichan,British Columbia,SK,24136,Canada,-7.36638,27.17422,2017-03-01,0
2299,P.O. Box 952 3871 Libero Avenue,,,Baie D'Urf,Quebec,QC,75143,Canada,-39.87107,141.50914,2017-03-01,0
3427,943-867 Nullam St.,,,Southaven,Mississippi,FL,95961,United States of America,24.64945,67.0381,2017-03-01,0
1030,P.O. Box 244 3726 Non Ave,,,Bozeman,Montana,VA,58501,United States of America,7.53096,8.43412,2017-03-01,0
5869,6757 Phasellus Rd.,,,Meerdonk,Oost-Vlaanderen,NA,1849,Korea,-36.96654,-140.81199,2017-03-01,0
8500,6818 Sem Ave,,,Red Deer,Alberta,MB,36985,Canada,48.40708,35.21459,2017-03-01,0
6251,933-4115 Ornare. St.,,,Sint-Gillis,Brussels Hoofdstedelijk Gewest,LU,2729,Korea,87.84655,-159.18825,2017-03-01,0
1977,415-8708 Facilisis Street,,,Mol,Antwerpen,AN,3940,Korea,38.38145,-18.17149,2017-03-01,0
2499,311-4977 Sociis St.,,,Sainte-Flavie,Quebec,YT,74895,Canada,8.37383,124.65194,2017-03-01,0
1808,875-4154 Libero Road,,,Jandrain-Jandrenouille,Waals-Brabant,AN,3429,Korea,43.02161,-98.51227,2017-03-01,0
3999,Ap #640-5803 Purus Rd.,,,Cambridge Bay,Nunavut,NT,12475,Canada,-88.15273,81.19681,2017-03-01,0
1209,Ap #171-3037 Penatibus Av.,,,Biloxi,Mississippi,WA,17578,United States of America,-23.49698,47.13094,2017-03-01,0
2840,551 In St.,,,Lourdes,Manitoba,PE,741236,Canada,52.7146,156.05704,2017-03-01,0
